image_path,steering_angle
straight\20250616_185038_629291.jpg,0.0000
straight\20250616_185038_774431.jpg,0.0000
straight\20250616_185038_943684.jpg,0.0000
straight\20250616_185039_088254.jpg,0.0000
straight\20250616_185039_261619.jpg,0.0000
straight\20250616_185039_418365.jpg,0.0000
straight\20250616_185039_588717.jpg,0.0000
straight\20250616_185039_756045.jpg,0.0000
straight\20250616_185039_917434.jpg,0.0000
straight\20250616_185040_091064.jpg,0.0000
straight\20250616_185040_243512.jpg,0.0000
straight\20250616_185040_416199.jpg,0.0000
straight\20250616_185040_573302.jpg,0.0000
straight\20250616_185040_751210.jpg,0.0000
straight\20250616_185040_910728.jpg,0.0000
straight\20250616_185041_076147.jpg,0.0000
straight\20250616_185041_222700.jpg,0.0000
straight\20250616_185041_396453.jpg,0.0000
straight\20250616_185041_558251.jpg,0.0000
straight\20250616_185041_722632.jpg,0.0000
straight\20250616_185041_906367.jpg,0.0000
straight\20250616_185042_063854.jpg,0.0000
straight\20250616_185042_238862.jpg,0.0000
straight\20250616_185042_391375.jpg,0.0000
straight\20250616_185042_592616.jpg,0.0000
straight\20250616_185042_742225.jpg,0.0000
straight\20250616_185042_917754.jpg,0.0000
straight\20250616_185043_077779.jpg,0.0000
straight\20250616_185043_253812.jpg,0.0000
straight\20250616_185043_413366.jpg,0.0000
straight\20250616_185043_590150.jpg,0.0000
straight\20250616_185043_768330.jpg,0.0000
straight\20250616_185043_934379.jpg,0.0000
straight\20250616_185044_105402.jpg,0.0000
straight\20250616_185044_257184.jpg,0.0000
straight\20250616_185044_432391.jpg,0.0000
straight\20250616_185044_583142.jpg,0.0000
straight\20250616_185044_776802.jpg,0.0000
straight\20250616_185044_933580.jpg,0.0000
straight\20250616_185045_096871.jpg,0.0000
straight\20250616_185045_254691.jpg,0.0000
straight\20250616_185045_423503.jpg,-0.0140
turn_left\20250616_185045_602107.jpg,-0.0320
turn_left\20250616_185045_753028.jpg,-0.0320
straight\20250616_185045_928035.jpg,-0.0280
straight\20250616_185046_083130.jpg,-0.0080
straight\20250616_185046_258789.jpg,0.0020
straight\20250616_185046_409769.jpg,0.0020
straight\20250616_185046_582543.jpg,0.0020
straight\20250616_185046_739181.jpg,0.0020
straight\20250616_185046_911733.jpg,0.0020
straight\20250616_185047_067940.jpg,0.0020
straight\20250616_185047_251263.jpg,0.0140
straight\20250616_185047_406862.jpg,0.0200
straight\20250616_185047_576327.jpg,0.0060
straight\20250616_185047_751259.jpg,0.0060
straight\20250616_185047_902273.jpg,0.0060
straight\20250616_185048_075990.jpg,0.0060
straight\20250616_185048_231052.jpg,-0.0040
straight\20250616_185048_409344.jpg,-0.0140
straight\20250616_185048_559820.jpg,-0.0140
straight\20250616_185048_736142.jpg,-0.0140
straight\20250616_185048_885663.jpg,-0.0140
straight\20250616_185049_059076.jpg,-0.0140
straight\20250616_185049_213521.jpg,-0.0140
straight\20250616_185049_389492.jpg,-0.0140
straight\20250616_185049_542709.jpg,-0.0060
straight\20250616_185049_718310.jpg,-0.0060
straight\20250616_185049_877840.jpg,-0.0060
straight\20250616_185050_047253.jpg,-0.0060
straight\20250616_185050_214380.jpg,-0.0060
straight\20250616_185050_381887.jpg,-0.0060
straight\20250616_185050_553565.jpg,-0.0060
straight\20250616_185050_710412.jpg,-0.0060
straight\20250616_185050_880885.jpg,-0.0060
