image_path,steering_angle
straight\20250614_100034_836727.jpg,0.0000
straight\20250614_100035_000977.jpg,0.0000
straight\20250614_100035_151242.jpg,0.0000
straight\20250614_100035_327597.jpg,0.0000
straight\20250614_100035_484034.jpg,0.0000
straight\20250614_100035_659200.jpg,0.0000
straight\20250614_100035_819105.jpg,0.0000
straight\20250614_100035_987587.jpg,0.0000
straight\20250614_100036_168143.jpg,0.0000
straight\20250614_100036_313905.jpg,0.0000
straight\20250614_100036_485902.jpg,0.0000
turn_left\20250614_100036_647168.jpg,-0.0320
turn_left\20250614_100036_821671.jpg,-0.0440
turn_left\20250614_100036_969481.jpg,-0.0840
turn_left\20250614_100037_145572.jpg,-0.1000
turn_left\20250614_100037_307208.jpg,-0.1000
turn_left\20250614_100037_478870.jpg,-0.1000
turn_left\20250614_100037_636759.jpg,-0.1320
turn_left\20250614_100037_809597.jpg,-0.1720
turn_left\20250614_100037_982903.jpg,-0.1880
turn_left\20250614_100038_137279.jpg,-0.1880
turn_left\20250614_100038_317091.jpg,-0.1880
turn_left\20250614_100038_468458.jpg,-0.2000
turn_left\20250614_100038_649310.jpg,-0.2400
turn_left\20250614_100038_799435.jpg,-0.2440
turn_left\20250614_100038_980563.jpg,-0.2760
turn_left\20250614_100039_136952.jpg,-0.3120
turn_left\20250614_100039_311699.jpg,-0.3280
turn_left\20250614_100039_466611.jpg,-0.3680
turn_left\20250614_100039_632865.jpg,-0.3800
turn_left\20250614_100039_781308.jpg,-0.4200
turn_left\20250614_100039_969835.jpg,-0.4480
turn_left\20250614_100040_110011.jpg,-0.4880
turn_left\20250614_100040_275864.jpg,-0.4760
turn_left\20250614_100040_436681.jpg,-0.4560
turn_left\20250614_100040_608960.jpg,-0.4400
turn_left\20250614_100040_786061.jpg,-0.4000
turn_left\20250614_100040_942754.jpg,-0.3840
turn_left\20250614_100041_128983.jpg,-0.3440
turn_left\20250614_100041_271191.jpg,-0.3040
turn_left\20250614_100041_447054.jpg,-0.2640
turn_left\20250614_100041_607299.jpg,-0.2240
turn_left\20250614_100041_784200.jpg,-0.1840
turn_left\20250614_100041_940973.jpg,-0.1440
turn_left\20250614_100042_112875.jpg,-0.1040
turn_left\20250614_100042_266675.jpg,-0.0640
straight\20250614_100042_432865.jpg,-0.0240
straight\20250614_100042_609706.jpg,0.0160
turn_right\20250614_100042_765242.jpg,0.0560
turn_right\20250614_100042_939377.jpg,0.0800
turn_right\20250614_100043_090444.jpg,0.0960
turn_right\20250614_100043_264765.jpg,0.1360
turn_right\20250614_100043_415883.jpg,0.1760
turn_right\20250614_100043_592230.jpg,0.1800
turn_right\20250614_100043_751311.jpg,0.2200
turn_right\20250614_100043_923192.jpg,0.2200
turn_right\20250614_100044_083215.jpg,0.1800
turn_right\20250614_100044_245829.jpg,0.1520
turn_right\20250614_100044_410364.jpg,0.1120
turn_right\20250614_100044_574373.jpg,0.0720
turn_right\20250614_100044_736483.jpg,0.0440
