image_path,steering_angle
straight\20250616_191646_137688.jpg,0.0000
straight\20250616_191646_280556.jpg,0.0000
straight\20250616_191646_429211.jpg,0.0000
straight\20250616_191646_602543.jpg,0.0000
straight\20250616_191646_771862.jpg,0.0000
straight\20250616_191646_928754.jpg,0.0000
straight\20250616_191647_104807.jpg,0.0000
straight\20250616_191647_256398.jpg,0.0000
straight\20250616_191647_429529.jpg,0.0000
straight\20250616_191647_580988.jpg,0.0000
straight\20250616_191647_757232.jpg,0.0000
straight\20250616_191647_905091.jpg,0.0000
straight\20250616_191648_083158.jpg,0.0000
straight\20250616_191648_236844.jpg,0.0000
straight\20250616_191648_412288.jpg,0.0000
straight\20250616_191648_572107.jpg,0.0000
straight\20250616_191648_733387.jpg,0.0000
straight\20250616_191648_901767.jpg,0.0000
straight\20250616_191649_069813.jpg,-0.0180
straight\20250616_191649_223314.jpg,-0.0200
straight\20250616_191649_394436.jpg,-0.0200
straight\20250616_191649_570537.jpg,-0.0200
straight\20250616_191649_721818.jpg,-0.0200
straight\20250616_191649_897810.jpg,-0.0200
straight\20250616_191650_051757.jpg,-0.0200
straight\20250616_191650_227258.jpg,-0.0200
straight\20250616_191650_378146.jpg,-0.0200
straight\20250616_191650_556992.jpg,-0.0200
straight\20250616_191650_712657.jpg,-0.0200
straight\20250616_191650_909222.jpg,-0.0100
straight\20250616_191651_096353.jpg,-0.0000
straight\20250616_191651_212886.jpg,-0.0000
straight\20250616_191651_357857.jpg,-0.0000
straight\20250616_191651_533015.jpg,0.0100
turn_right\20250616_191651_696442.jpg,0.0300
turn_right\20250616_191651_860014.jpg,0.0500
turn_right\20250616_191652_026963.jpg,0.0580
turn_right\20250616_191652_193196.jpg,0.0580
turn_right\20250616_191652_361188.jpg,0.0580
turn_right\20250616_191652_521242.jpg,0.0740
turn_right\20250616_191652_697521.jpg,0.0900
turn_right\20250616_191652_851436.jpg,0.0900
turn_right\20250616_191653_026108.jpg,0.0900
turn_right\20250616_191653_177996.jpg,0.0900
turn_right\20250616_191653_350338.jpg,0.0900
turn_right\20250616_191653_508857.jpg,0.0900
turn_right\20250616_191653_674847.jpg,0.0900
turn_right\20250616_191653_839024.jpg,0.0900
turn_right\20250616_191654_001790.jpg,0.0900
turn_right\20250616_191654_168446.jpg,0.0900
turn_right\20250616_191654_329717.jpg,0.0900
turn_right\20250616_191654_506695.jpg,0.0900
turn_right\20250616_191654_658605.jpg,0.0900
turn_right\20250616_191654_832763.jpg,0.0900
turn_right\20250616_191655_010755.jpg,0.1080
turn_right\20250616_191655_168974.jpg,0.1280
turn_right\20250616_191655_289403.jpg,0.1320
turn_right\20250616_191655_459795.jpg,0.1320
turn_right\20250616_191655_618930.jpg,0.1320
turn_right\20250616_191655_797962.jpg,0.1320
turn_right\20250616_191655_950435.jpg,0.1320
turn_right\20250616_191656_124323.jpg,0.1320
turn_right\20250616_191656_281648.jpg,0.1320
turn_right\20250616_191656_452404.jpg,0.1320
turn_right\20250616_191656_610019.jpg,0.1320
turn_right\20250616_191656_781781.jpg,0.1320
turn_right\20250616_191656_939949.jpg,0.1320
