image_path,steering_angle
straight\20250614_101911_050702.jpg,0.0000
straight\20250614_101911_188626.jpg,0.0000
straight\20250614_101911_375984.jpg,0.0000
straight\20250614_101911_528384.jpg,0.0000
straight\20250614_101911_709553.jpg,0.0000
straight\20250614_101911_870626.jpg,0.0000
straight\20250614_101912_043491.jpg,0.0000
straight\20250614_101912_205851.jpg,0.0000
straight\20250614_101912_375729.jpg,0.0000
straight\20250614_101912_532585.jpg,0.0000
straight\20250614_101912_701441.jpg,0.0000
straight\20250614_101912_867881.jpg,0.0000
straight\20250614_101913_031576.jpg,0.0240
straight\20250614_101913_204883.jpg,0.0240
straight\20250614_101913_362841.jpg,0.0160
straight\20250614_101913_541214.jpg,-0.0040
straight\20250614_101913_698466.jpg,-0.0040
straight\20250614_101913_879637.jpg,-0.0040
straight\20250614_101914_032994.jpg,-0.0040
straight\20250614_101914_230248.jpg,-0.0040
straight\20250614_101914_383286.jpg,-0.0040
straight\20250614_101914_553563.jpg,-0.0040
straight\20250614_101914_708495.jpg,0.0000
straight\20250614_101914_870759.jpg,0.0200
straight\20250614_101915_040312.jpg,0.0200
straight\20250614_101915_228233.jpg,0.0200
straight\20250614_101915_393318.jpg,0.0200
straight\20250614_101915_557350.jpg,0.0200
straight\20250614_101915_721927.jpg,0.0200
straight\20250614_101915_884804.jpg,0.0240
turn_right\20250614_101916_053269.jpg,0.0320
turn_right\20250614_101916_215373.jpg,0.0320
turn_right\20250614_101916_376765.jpg,0.0400
turn_right\20250614_101916_533943.jpg,0.0640
turn_right\20250614_101916_702816.jpg,0.0640
turn_right\20250614_101916_862250.jpg,0.0640
turn_right\20250614_101917_037656.jpg,0.0640
turn_right\20250614_101917_221750.jpg,0.0800
turn_right\20250614_101917_377094.jpg,0.0800
turn_right\20250614_101917_553528.jpg,0.0800
turn_right\20250614_101917_707558.jpg,0.0800
turn_right\20250614_101917_883232.jpg,0.0800
turn_right\20250614_101918_032452.jpg,0.0800
turn_right\20250614_101918_207911.jpg,0.0800
turn_right\20250614_101918_365869.jpg,0.0800
turn_right\20250614_101918_538456.jpg,0.0800
turn_right\20250614_101918_694384.jpg,0.0800
turn_right\20250614_101918_866481.jpg,0.0800
turn_right\20250614_101919_030130.jpg,0.0640
turn_right\20250614_101919_206529.jpg,0.0640
turn_right\20250614_101919_389224.jpg,0.0760
turn_right\20250614_101919_542207.jpg,0.0880
turn_right\20250614_101919_719632.jpg,0.0880
turn_right\20250614_101919_876580.jpg,0.0880
turn_right\20250614_101920_054799.jpg,0.0880
turn_right\20250614_101920_206857.jpg,0.0880
turn_right\20250614_101920_385022.jpg,0.0880
turn_right\20250614_101920_544762.jpg,0.0880
turn_right\20250614_101920_716850.jpg,0.0880
turn_right\20250614_101920_875980.jpg,0.0880
turn_right\20250614_101921_046393.jpg,0.0880
turn_right\20250614_101921_222736.jpg,0.0880
turn_right\20250614_101921_379791.jpg,0.0880
turn_right\20250614_101921_555458.jpg,0.0880
turn_right\20250614_101921_705704.jpg,0.0880
turn_right\20250614_101921_884980.jpg,0.0880
turn_right\20250614_101922_039975.jpg,0.0880
turn_right\20250614_101922_237031.jpg,0.0880
turn_right\20250614_101922_406956.jpg,0.0680
turn_right\20250614_101922_562954.jpg,0.0680
turn_right\20250614_101922_717923.jpg,0.0680
turn_right\20250614_101922_892130.jpg,0.0680
turn_right\20250614_101923_067101.jpg,0.0640
turn_right\20250614_101923_228105.jpg,0.0440
turn_right\20250614_101923_387145.jpg,0.0440
turn_right\20250614_101923_545504.jpg,0.0440
turn_right\20250614_101923_723063.jpg,0.0440
straight\20250614_101923_874576.jpg,0.0120
straight\20250614_101924_054869.jpg,0.0120
straight\20250614_101924_210073.jpg,0.0120
straight\20250614_101924_383726.jpg,0.0120
straight\20250614_101924_548814.jpg,-0.0000
straight\20250614_101924_739954.jpg,-0.0000
straight\20250614_101924_894217.jpg,-0.0000
straight\20250614_101925_049974.jpg,-0.0000
straight\20250614_101925_225193.jpg,-0.0000
straight\20250614_101925_380534.jpg,-0.0000
straight\20250614_101925_558649.jpg,-0.0000
straight\20250614_101925_713421.jpg,-0.0000
straight\20250614_101925_893891.jpg,-0.0000
straight\20250614_101926_045551.jpg,-0.0000
