image_path,steering_angle
straight\20250614_101432_923584.jpg,0.0000
straight\20250614_101433_067352.jpg,0.0000
straight\20250614_101433_230840.jpg,0.0000
straight\20250614_101433_407314.jpg,0.0000
straight\20250614_101433_552558.jpg,0.0000
straight\20250614_101433_731968.jpg,0.0000
straight\20250614_101433_883540.jpg,0.0000
straight\20250614_101434_065883.jpg,0.0000
straight\20250614_101434_221150.jpg,0.0000
straight\20250614_101434_398646.jpg,0.0000
straight\20250614_101434_558660.jpg,0.0000
straight\20250614_101434_731864.jpg,0.0000
straight\20250614_101434_905051.jpg,0.0000
straight\20250614_101435_056509.jpg,0.0000
straight\20250614_101435_234783.jpg,0.0000
straight\20250614_101435_389696.jpg,0.0000
straight\20250614_101435_566327.jpg,0.0000
straight\20250614_101435_719271.jpg,0.0000
straight\20250614_101435_896881.jpg,0.0000
straight\20250614_101436_051038.jpg,0.0000
straight\20250614_101436_227705.jpg,0.0000
straight\20250614_101436_385071.jpg,0.0000
straight\20250614_101436_557213.jpg,0.0000
straight\20250614_101436_721715.jpg,0.0000
straight\20250614_101436_895908.jpg,-0.0080
straight\20250614_101437_071470.jpg,-0.0200
straight\20250614_101437_228100.jpg,0.0080
straight\20250614_101437_412536.jpg,0.0080
straight\20250614_101437_556150.jpg,0.0080
straight\20250614_101437_738900.jpg,0.0080
straight\20250614_101437_894011.jpg,-0.0080
straight\20250614_101438_070468.jpg,-0.0080
straight\20250614_101438_228593.jpg,-0.0080
straight\20250614_101438_398811.jpg,-0.0080
straight\20250614_101438_552617.jpg,0.0080
straight\20250614_101438_724188.jpg,0.0080
straight\20250614_101438_887284.jpg,0.0080
straight\20250614_101439_057348.jpg,-0.0080
straight\20250614_101439_231961.jpg,-0.0080
straight\20250614_101439_386155.jpg,-0.0080
straight\20250614_101439_564425.jpg,-0.0080
straight\20250614_101439_713767.jpg,-0.0080
straight\20250614_101439_893214.jpg,-0.0080
straight\20250614_101440_046956.jpg,-0.0080
straight\20250614_101440_225968.jpg,-0.0240
straight\20250614_101440_385210.jpg,-0.0240
straight\20250614_101440_555239.jpg,-0.0240
straight\20250614_101440_713707.jpg,-0.0240
straight\20250614_101440_884244.jpg,-0.0240
straight\20250614_101441_058704.jpg,-0.0240
turn_left\20250614_101441_218748.jpg,-0.0560
turn_left\20250614_101441_395907.jpg,-0.0640
turn_left\20250614_101441_542304.jpg,-0.0640
turn_left\20250614_101441_719788.jpg,-0.0640
turn_left\20250614_101441_878520.jpg,-0.0640
turn_left\20250614_101442_054365.jpg,-0.0440
turn_left\20250614_101442_206830.jpg,-0.0360
turn_left\20250614_101442_386733.jpg,-0.0360
turn_left\20250614_101442_549768.jpg,-0.0360
turn_left\20250614_101442_712405.jpg,-0.0360
turn_left\20250614_101442_901191.jpg,-0.0560
turn_left\20250614_101443_040679.jpg,-0.0560
turn_left\20250614_101443_219264.jpg,-0.0560
turn_left\20250614_101443_367850.jpg,-0.0640
turn_left\20250614_101443_548737.jpg,-0.0800
turn_left\20250614_101443_706297.jpg,-0.0800
turn_left\20250614_101443_881317.jpg,-0.0800
turn_left\20250614_101444_033038.jpg,-0.0800
turn_left\20250614_101444_214444.jpg,-0.0800
turn_left\20250614_101444_372094.jpg,-0.0800
turn_left\20250614_101444_541933.jpg,-0.0800
turn_left\20250614_101444_700205.jpg,-0.0800
turn_left\20250614_101444_872598.jpg,-0.0800
turn_left\20250614_101445_046832.jpg,-0.0800
turn_left\20250614_101445_206435.jpg,-0.0800
turn_left\20250614_101445_385384.jpg,-0.0800
turn_left\20250614_101445_542117.jpg,-0.0800
turn_left\20250614_101445_720723.jpg,-0.0800
turn_left\20250614_101445_874839.jpg,-0.0800
turn_left\20250614_101446_052473.jpg,-0.0800
turn_left\20250614_101446_207879.jpg,-0.0800
turn_left\20250614_101446_379089.jpg,-0.0640
turn_left\20250614_101446_534620.jpg,-0.0640
turn_left\20250614_101446_710120.jpg,-0.0640
turn_left\20250614_101446_875825.jpg,-0.0640
turn_left\20250614_101447_034761.jpg,-0.0640
turn_left\20250614_101447_205475.jpg,-0.0640
turn_left\20250614_101447_366661.jpg,-0.0640
turn_left\20250614_101447_544704.jpg,-0.0640
turn_left\20250614_101447_695665.jpg,-0.0640
turn_left\20250614_101447_875877.jpg,-0.0640
turn_left\20250614_101448_026896.jpg,-0.0640
turn_left\20250614_101448_205415.jpg,-0.0640
turn_left\20250614_101448_362523.jpg,-0.0640
turn_left\20250614_101448_537162.jpg,-0.0640
turn_left\20250614_101448_702692.jpg,-0.0640
turn_left\20250614_101448_859684.jpg,-0.0640
turn_left\20250614_101449_028991.jpg,-0.0400
turn_left\20250614_101449_190591.jpg,-0.0400
turn_left\20250614_101449_348016.jpg,-0.0400
straight\20250614_101449_525347.jpg,-0.0200
straight\20250614_101449_704118.jpg,-0.0160
straight\20250614_101449_856626.jpg,-0.0160
straight\20250614_101450_037653.jpg,-0.0160
straight\20250614_101450_194360.jpg,-0.0160
straight\20250614_101450_371795.jpg,-0.0160
straight\20250614_101450_526599.jpg,-0.0040
straight\20250614_101450_704165.jpg,-0.0040
straight\20250614_101450_855965.jpg,-0.0040
straight\20250614_101451_030279.jpg,-0.0040
straight\20250614_101451_189485.jpg,-0.0040
straight\20250614_101451_361148.jpg,-0.0040
straight\20250614_101451_518156.jpg,-0.0040
straight\20250614_101451_692037.jpg,-0.0040
straight\20250614_101451_863341.jpg,-0.0040
straight\20250614_101452_020560.jpg,-0.0040
straight\20250614_101452_198471.jpg,-0.0040
straight\20250614_101452_351006.jpg,-0.0040
straight\20250614_101452_530808.jpg,-0.0040
straight\20250614_101452_686067.jpg,-0.0040
straight\20250614_101452_865638.jpg,-0.0040
straight\20250614_101453_023876.jpg,-0.0040
straight\20250614_101453_208669.jpg,-0.0040
straight\20250614_101453_355333.jpg,-0.0040
straight\20250614_101453_534668.jpg,-0.0040
straight\20250614_101453_659854.jpg,-0.0040
straight\20250614_101453_826047.jpg,-0.0040
straight\20250614_101453_974157.jpg,-0.0040
straight\20250614_101454_145703.jpg,-0.0040
straight\20250614_101454_318591.jpg,-0.0040
