image_path,steering_angle
straight\20250616_174217_013854.jpg,0.0000
straight\20250616_174217_135130.jpg,0.0000
straight\20250616_174217_290665.jpg,0.0000
straight\20250616_174217_464472.jpg,0.0000
straight\20250616_174217_614829.jpg,0.0000
straight\20250616_174217_796507.jpg,-0.0100
straight\20250616_174217_940967.jpg,-0.0140
straight\20250616_174218_118071.jpg,-0.0140
straight\20250616_174218_276098.jpg,-0.0140
straight\20250616_174218_449765.jpg,-0.0140
straight\20250616_174218_602754.jpg,-0.0140
straight\20250616_174218_778287.jpg,-0.0140
straight\20250616_174218_944301.jpg,-0.0140
straight\20250616_174219_109326.jpg,-0.0140
straight\20250616_174219_284742.jpg,-0.0140
straight\20250616_174219_439560.jpg,-0.0140
straight\20250616_174219_620126.jpg,-0.0140
straight\20250616_174219_774673.jpg,-0.0140
straight\20250616_174219_955809.jpg,-0.0140
straight\20250616_174220_108878.jpg,-0.0140
straight\20250616_174220_283123.jpg,-0.0140
straight\20250616_174220_441888.jpg,-0.0140
straight\20250616_174220_614492.jpg,-0.0140
straight\20250616_174220_771155.jpg,-0.0140
straight\20250616_174220_943897.jpg,-0.0140
straight\20250616_174221_120089.jpg,-0.0140
straight\20250616_174221_272979.jpg,-0.0120
straight\20250616_174221_450266.jpg,-0.0020
straight\20250616_174221_606559.jpg,-0.0020
straight\20250616_174221_784324.jpg,-0.0020
straight\20250616_174221_932790.jpg,-0.0020
straight\20250616_174222_106728.jpg,-0.0020
straight\20250616_174222_266028.jpg,-0.0020
straight\20250616_174222_442535.jpg,-0.0020
straight\20250616_174222_598395.jpg,-0.0020
straight\20250616_174222_772661.jpg,-0.0020
straight\20250616_174222_937045.jpg,-0.0020
straight\20250616_174223_112954.jpg,-0.0020
straight\20250616_174223_282263.jpg,-0.0020
straight\20250616_174223_439172.jpg,-0.0020
straight\20250616_174223_613583.jpg,-0.0020
straight\20250616_174223_763952.jpg,-0.0020
straight\20250616_174223_941976.jpg,-0.0020
straight\20250616_174224_095499.jpg,-0.0020
straight\20250616_174224_274552.jpg,-0.0020
straight\20250616_174224_425654.jpg,0.0160
straight\20250616_174224_598163.jpg,0.0180
straight\20250616_174224_751054.jpg,0.0180
straight\20250616_174224_930487.jpg,0.0180
straight\20250616_174225_090391.jpg,0.0180
straight\20250616_174225_254055.jpg,0.0180
straight\20250616_174225_417383.jpg,0.0180
straight\20250616_174225_595270.jpg,0.0180
straight\20250616_174225_768860.jpg,0.0180
straight\20250616_174225_920735.jpg,0.0180
straight\20250616_174226_096930.jpg,0.0180
straight\20250616_174226_249799.jpg,0.0180
straight\20250616_174226_429891.jpg,0.0180
straight\20250616_174226_568948.jpg,0.0180
straight\20250616_174226_746772.jpg,0.0180
straight\20250616_174226_908288.jpg,0.0180
straight\20250616_174227_079405.jpg,0.0240
turn_right\20250616_174227_232099.jpg,0.0300
turn_right\20250616_174227_395537.jpg,0.0300
turn_right\20250616_174227_544683.jpg,0.0300
turn_right\20250616_174227_709285.jpg,0.0300
straight\20250616_174227_864715.jpg,0.0140
straight\20250616_174228_034714.jpg,0.0140
straight\20250616_174228_212123.jpg,0.0140
straight\20250616_174228_364927.jpg,0.0140
straight\20250616_174228_538837.jpg,0.0140
straight\20250616_174228_690430.jpg,0.0140
straight\20250616_174228_867756.jpg,0.0140
straight\20250616_174229_023939.jpg,0.0140
straight\20250616_174229_203143.jpg,0.0140
straight\20250616_174229_356893.jpg,0.0140
straight\20250616_174229_530159.jpg,0.0080
straight\20250616_174229_692433.jpg,-0.0120
straight\20250616_174229_861587.jpg,-0.0140
straight\20250616_174230_013590.jpg,-0.0140
