image_path,steering_angle
straight\20250614_093951_678993.jpg,0.0000
straight\20250614_093951_823615.jpg,0.0000
straight\20250614_093951_977436.jpg,0.0000
straight\20250614_093952_153644.jpg,0.0000
straight\20250614_093952_305790.jpg,0.0000
straight\20250614_093952_484834.jpg,0.0000
straight\20250614_093952_639197.jpg,0.0000
straight\20250614_093952_809626.jpg,0.0000
straight\20250614_093952_960295.jpg,0.0000
straight\20250614_093953_139303.jpg,0.0000
straight\20250614_093953_279888.jpg,0.0000
straight\20250614_093953_454313.jpg,0.0000
straight\20250614_093953_607016.jpg,0.0000
straight\20250614_093953_784370.jpg,0.0000
straight\20250614_093953_934817.jpg,0.0000
turn_left\20250614_093954_112955.jpg,-0.0350
turn_left\20250614_093954_270422.jpg,-0.0350
turn_left\20250614_093954_439597.jpg,-0.0350
turn_left\20250614_093954_605375.jpg,-0.0350
turn_left\20250614_093954_767705.jpg,-0.0350
turn_left\20250614_093954_941107.jpg,-0.0350
turn_left\20250614_093955_097325.jpg,-0.0350
turn_left\20250614_093955_275831.jpg,-0.0350
turn_left\20250614_093955_429263.jpg,-0.0350
turn_left\20250614_093955_604858.jpg,-0.0350
turn_left\20250614_093955_756903.jpg,-0.0350
turn_left\20250614_093955_936390.jpg,-0.0350
turn_left\20250614_093956_096018.jpg,-0.0350
turn_left\20250614_093956_273870.jpg,-0.0350
turn_left\20250614_093956_429123.jpg,-0.0350
turn_left\20250614_093956_599898.jpg,-0.0350
straight\20250614_093956_761900.jpg,-0.0150
straight\20250614_093956_929160.jpg,0.0000
straight\20250614_093957_100722.jpg,0.0000
turn_right\20250614_093957_258620.jpg,0.0500
turn_right\20250614_093957_431765.jpg,0.0550
turn_right\20250614_093957_581967.jpg,0.0550
turn_right\20250614_093957_760870.jpg,0.0550
turn_right\20250614_093957_911887.jpg,0.0550
turn_right\20250614_093958_086689.jpg,0.0550
turn_right\20250614_093958_242264.jpg,0.0550
turn_right\20250614_093958_420390.jpg,0.0550
turn_right\20250614_093958_572749.jpg,0.0550
