image_path,steering_angle
straight\20250618_204753_408867.jpg,0.0000
straight\20250618_204753_575728.jpg,0.0000
straight\20250618_204753_734175.jpg,0.0000
straight\20250618_204753_924891.jpg,0.0000
straight\20250618_204754_066324.jpg,0.0000
straight\20250618_204754_236025.jpg,0.0000
straight\20250618_204754_392708.jpg,0.0000
straight\20250618_204754_573178.jpg,0.0000
straight\20250618_204754_738854.jpg,0.0000
straight\20250618_204754_895211.jpg,0.0000
straight\20250618_204755_076452.jpg,0.0000
straight\20250618_204755_227387.jpg,0.0000
straight\20250618_204755_407942.jpg,0.0000
straight\20250618_204755_555806.jpg,0.0000
straight\20250618_204755_757124.jpg,0.0000
straight\20250618_204755_915471.jpg,0.0000
straight\20250618_204756_094771.jpg,0.0000
straight\20250618_204756_253111.jpg,0.0000
straight\20250618_204756_424813.jpg,0.0000
straight\20250618_204756_589496.jpg,0.0020
straight\20250618_204756_761507.jpg,0.0120
straight\20250618_204756_936705.jpg,0.0120
straight\20250618_204757_095380.jpg,0.0120
straight\20250618_204757_271740.jpg,0.0120
straight\20250618_204757_423016.jpg,0.0120
straight\20250618_204757_595840.jpg,0.0200
straight\20250618_204757_746924.jpg,0.0260
straight\20250618_204757_923104.jpg,0.0260
straight\20250618_204758_076949.jpg,0.0260
straight\20250618_204758_250225.jpg,0.0260
straight\20250618_204758_409738.jpg,0.0260
straight\20250618_204758_589583.jpg,0.0260
straight\20250618_204758_750973.jpg,0.0260
straight\20250618_204758_920672.jpg,0.0160
straight\20250618_204759_093032.jpg,0.0100
straight\20250618_204759_246955.jpg,0.0100
straight\20250618_204759_424965.jpg,0.0100
straight\20250618_204759_573326.jpg,0.0100
straight\20250618_204759_749847.jpg,0.0100
straight\20250618_204759_900568.jpg,-0.0040
straight\20250618_204800_080810.jpg,-0.0040
straight\20250618_204800_232815.jpg,-0.0040
straight\20250618_204800_411613.jpg,-0.0040
straight\20250618_204800_568988.jpg,-0.0040
straight\20250618_204800_745879.jpg,-0.0040
straight\20250618_204800_908881.jpg,-0.0040
