image_path,steering_angle
straight\20250618_201732_305331.jpg,0.0000
straight\20250618_201732_478731.jpg,0.0000
straight\20250618_201732_662598.jpg,0.0000
straight\20250618_201732_758394.jpg,0.0000
straight\20250618_201732_911660.jpg,0.0000
straight\20250618_201733_082894.jpg,0.0000
straight\20250618_201733_235659.jpg,0.0000
straight\20250618_201733_414881.jpg,0.0000
straight\20250618_201733_562258.jpg,0.0000
straight\20250618_201733_740938.jpg,-0.0160
straight\20250618_201733_894092.jpg,-0.0220
straight\20250618_201734_073848.jpg,-0.0220
straight\20250618_201734_224427.jpg,-0.0260
turn_left\20250618_201734_408023.jpg,-0.0460
turn_left\20250618_201734_561208.jpg,-0.0660
turn_left\20250618_201734_737859.jpg,-0.0760
turn_left\20250618_201734_894583.jpg,-0.0760
turn_left\20250618_201735_071280.jpg,-0.0920
turn_left\20250618_201735_230212.jpg,-0.1060
turn_left\20250618_201735_399274.jpg,-0.1060
turn_left\20250618_201735_573375.jpg,-0.1060
turn_left\20250618_201735_724978.jpg,-0.1060
turn_left\20250618_201735_908350.jpg,-0.1060
turn_left\20250618_201736_056881.jpg,-0.1060
turn_left\20250618_201736_233007.jpg,-0.1060
turn_left\20250618_201736_386803.jpg,-0.0960
turn_left\20250618_201736_565830.jpg,-0.0900
turn_left\20250618_201736_712701.jpg,-0.0900
turn_left\20250618_201736_889998.jpg,-0.0900
turn_left\20250618_201737_046446.jpg,-0.0900
turn_left\20250618_201737_220429.jpg,-0.0900
turn_left\20250618_201737_379284.jpg,-0.0900
turn_left\20250618_201737_548683.jpg,-0.0900
turn_left\20250618_201737_705466.jpg,-0.0900
turn_left\20250618_201737_877908.jpg,-0.0900
turn_left\20250618_201738_047144.jpg,-0.0900
turn_left\20250618_201738_208658.jpg,-0.0860
turn_left\20250618_201738_382044.jpg,-0.0760
turn_left\20250618_201738_531510.jpg,-0.0760
turn_left\20250618_201738_706597.jpg,-0.0760
turn_left\20250618_201738_861503.jpg,-0.0760
turn_left\20250618_201739_036609.jpg,-0.0740
turn_left\20250618_201739_195566.jpg,-0.0540
turn_left\20250618_201739_369041.jpg,-0.0520
turn_left\20250618_201739_516395.jpg,-0.0520
turn_left\20250618_201739_691928.jpg,-0.0520
turn_left\20250618_201739_849922.jpg,-0.0460
turn_left\20250618_201740_023387.jpg,-0.0340
turn_left\20250618_201740_185645.jpg,-0.0340
turn_left\20250618_201740_362588.jpg,-0.0340
turn_left\20250618_201740_537386.jpg,-0.0340
turn_left\20250618_201740_691691.jpg,-0.0340
turn_left\20250618_201740_868772.jpg,-0.0340
turn_left\20250618_201741_021883.jpg,-0.0340
turn_left\20250618_201741_196478.jpg,-0.0340
turn_left\20250618_201741_350026.jpg,-0.0340
turn_left\20250618_201741_530137.jpg,-0.0340
turn_left\20250618_201741_680642.jpg,-0.0340
turn_left\20250618_201741_859406.jpg,-0.0340
turn_left\20250618_201742_021952.jpg,-0.0340
turn_left\20250618_201742_194658.jpg,-0.0340
turn_left\20250618_201742_346965.jpg,-0.0340
turn_left\20250618_201742_516901.jpg,-0.0340
turn_left\20250618_201742_674592.jpg,-0.0340
turn_left\20250618_201742_852066.jpg,-0.0340
turn_left\20250618_201743_030280.jpg,-0.0520
turn_left\20250618_201743_182477.jpg,-0.0720
turn_left\20250618_201743_363177.jpg,-0.0780
turn_left\20250618_201743_516615.jpg,-0.0780
turn_left\20250618_201743_694036.jpg,-0.0780
turn_left\20250618_201743_849382.jpg,-0.0780
turn_left\20250618_201744_028560.jpg,-0.0940
turn_left\20250618_201744_181558.jpg,-0.0940
turn_left\20250618_201744_360353.jpg,-0.0940
turn_left\20250618_201744_521994.jpg,-0.0940
turn_left\20250618_201744_686004.jpg,-0.0940
turn_left\20250618_201744_856181.jpg,-0.0940
turn_left\20250618_201745_023471.jpg,-0.0940
turn_left\20250618_201745_205960.jpg,-0.1060
turn_left\20250618_201745_357702.jpg,-0.1100
turn_left\20250618_201745_538241.jpg,-0.1100
turn_left\20250618_201745_688222.jpg,-0.1100
turn_left\20250618_201745_867522.jpg,-0.1100
turn_left\20250618_201746_023328.jpg,-0.1100
turn_left\20250618_201746_204578.jpg,-0.1100
turn_left\20250618_201746_361205.jpg,-0.1100
turn_left\20250618_201746_529110.jpg,-0.1100
turn_left\20250618_201746_685256.jpg,-0.1100
turn_left\20250618_201746_864923.jpg,-0.1100
turn_left\20250618_201747_041708.jpg,-0.1100
turn_left\20250618_201747_192080.jpg,-0.1100
turn_left\20250618_201747_369121.jpg,-0.1100
turn_left\20250618_201747_524367.jpg,-0.1100
turn_left\20250618_201747_704169.jpg,-0.1060
turn_left\20250618_201747_862221.jpg,-0.0860
turn_left\20250618_201748_036583.jpg,-0.0740
turn_left\20250618_201748_178607.jpg,-0.0660
turn_left\20250618_201748_358432.jpg,-0.0560
