image_path,steering_angle
straight\20250616_194543_782680.jpg,0.0000
straight\20250616_194543_877774.jpg,0.0000
straight\20250616_194543_999172.jpg,0.0000
straight\20250616_194544_178599.jpg,0.0000
straight\20250616_194544_328296.jpg,0.0000
straight\20250616_194544_503957.jpg,0.0000
straight\20250616_194544_656271.jpg,0.0000
straight\20250616_194544_835844.jpg,0.0000
straight\20250616_194544_979715.jpg,0.0000
straight\20250616_194545_156045.jpg,0.0000
straight\20250616_194545_312516.jpg,0.0000
straight\20250616_194545_493305.jpg,0.0000
straight\20250616_194545_652030.jpg,0.0000
straight\20250616_194545_829721.jpg,0.0000
straight\20250616_194546_005617.jpg,0.0000
straight\20250616_194546_156363.jpg,0.0000
straight\20250616_194546_337715.jpg,0.0000
straight\20250616_194546_483335.jpg,0.0000
straight\20250616_194546_653590.jpg,0.0000
straight\20250616_194546_812971.jpg,0.0000
straight\20250616_194546_988539.jpg,0.0080
straight\20250616_194547_139285.jpg,0.0260
turn_right\20250616_194547_314114.jpg,0.0340
turn_right\20250616_194547_469998.jpg,0.0480
turn_right\20250616_194547_643430.jpg,0.0480
turn_right\20250616_194547_803342.jpg,0.0480
turn_right\20250616_194547_974831.jpg,0.0480
turn_right\20250616_194548_137239.jpg,0.0480
turn_right\20250616_194548_306357.jpg,0.0480
turn_right\20250616_194548_484676.jpg,0.0480
turn_right\20250616_194548_636051.jpg,0.0480
turn_right\20250616_194548_818032.jpg,0.0480
turn_right\20250616_194548_961658.jpg,0.0480
turn_right\20250616_194549_137665.jpg,0.0480
turn_right\20250616_194549_298051.jpg,0.0480
turn_right\20250616_194549_476180.jpg,0.0480
turn_right\20250616_194549_633963.jpg,0.0460
straight\20250616_194549_812955.jpg,0.0260
straight\20250616_194549_971991.jpg,0.0220
straight\20250616_194550_126392.jpg,0.0220
straight\20250616_194550_309073.jpg,0.0040
straight\20250616_194550_463977.jpg,-0.0160
turn_left\20250616_194550_645945.jpg,-0.0360
turn_left\20250616_194550_802782.jpg,-0.0400
turn_left\20250616_194550_978026.jpg,-0.0400
turn_left\20250616_194551_130238.jpg,-0.0400
turn_left\20250616_194551_309971.jpg,-0.0400
turn_left\20250616_194551_483082.jpg,-0.0400
turn_left\20250616_194551_653152.jpg,-0.0400
turn_left\20250616_194551_817916.jpg,-0.0400
turn_left\20250616_194551_998312.jpg,-0.0580
turn_left\20250616_194552_159753.jpg,-0.0780
turn_left\20250616_194552_314227.jpg,-0.0920
turn_left\20250616_194552_491624.jpg,-0.0920
turn_left\20250616_194552_643766.jpg,-0.0920
turn_left\20250616_194552_825096.jpg,-0.0760
turn_left\20250616_194552_976579.jpg,-0.0740
turn_left\20250616_194553_156215.jpg,-0.0740
turn_left\20250616_194553_311524.jpg,-0.0740
turn_left\20250616_194553_481471.jpg,-0.0740
turn_left\20250616_194553_643268.jpg,-0.0620
turn_left\20250616_194553_804664.jpg,-0.0420
turn_left\20250616_194553_968001.jpg,-0.0360
straight\20250616_194554_133129.jpg,-0.0220
straight\20250616_194554_297079.jpg,-0.0020
straight\20250616_194554_485051.jpg,0.0120
straight\20250616_194554_656765.jpg,0.0120
straight\20250616_194554_811438.jpg,0.0120
straight\20250616_194554_990522.jpg,0.0120
straight\20250616_194555_140704.jpg,0.0120
straight\20250616_194555_319325.jpg,0.0240
turn_right\20250616_194555_473063.jpg,0.0300
turn_right\20250616_194555_648360.jpg,0.0300
straight\20250616_194555_803811.jpg,0.0140
straight\20250616_194555_979716.jpg,0.0140
straight\20250616_194556_138451.jpg,0.0140
straight\20250616_194556_308031.jpg,0.0140
straight\20250616_194556_466022.jpg,0.0220
turn_right\20250616_194556_635559.jpg,0.0300
straight\20250616_194556_826606.jpg,0.0220
straight\20250616_194556_985750.jpg,0.0040
straight\20250616_194557_148709.jpg,0.0040
straight\20250616_194557_295496.jpg,0.0040
straight\20250616_194557_471532.jpg,0.0040
straight\20250616_194557_626131.jpg,0.0040
straight\20250616_194557_802247.jpg,0.0040
straight\20250616_194557_954416.jpg,0.0040
straight\20250616_194558_129485.jpg,0.0040
straight\20250616_194558_283411.jpg,0.0040
straight\20250616_194558_460386.jpg,0.0040
straight\20250616_194558_612006.jpg,0.0040
straight\20250616_194558_782608.jpg,0.0040
straight\20250616_194558_944805.jpg,0.0040
straight\20250616_194559_113524.jpg,0.0040
straight\20250616_194559_278468.jpg,0.0040
straight\20250616_194559_446580.jpg,0.0140
straight\20250616_194559_613854.jpg,0.0140
straight\20250616_194559_775538.jpg,0.0140
straight\20250616_194559_960392.jpg,0.0140
straight\20250616_194600_110165.jpg,0.0040
straight\20250616_194600_280621.jpg,0.0040
straight\20250616_194600_438036.jpg,0.0040
straight\20250616_194600_606635.jpg,0.0040
straight\20250616_194600_763599.jpg,0.0040
straight\20250616_194600_940528.jpg,0.0040
straight\20250616_194601_090955.jpg,0.0040
straight\20250616_194601_265434.jpg,0.0160
straight\20250616_194601_427205.jpg,0.0200
straight\20250616_194601_593652.jpg,0.0200
straight\20250616_194601_769272.jpg,0.0200
straight\20250616_194601_924024.jpg,0.0200
straight\20250616_194602_101993.jpg,0.0040
straight\20250616_194602_266347.jpg,0.0040
straight\20250616_194602_432604.jpg,0.0040
straight\20250616_194602_589598.jpg,0.0040
straight\20250616_194602_764736.jpg,0.0040
straight\20250616_194602_923053.jpg,0.0040
straight\20250616_194603_096836.jpg,0.0040
straight\20250616_194603_257961.jpg,0.0040
straight\20250616_194603_429151.jpg,0.0040
straight\20250616_194603_604200.jpg,0.0040
