image_path,steering_angle
straight\20250621_112152_463840.jpg,0.0000
straight\20250621_112152_639330.jpg,0.0000
straight\20250621_112152_780535.jpg,0.0000
straight\20250621_112152_970008.jpg,0.0000
straight\20250621_112153_120290.jpg,0.0000
straight\20250621_112153_295828.jpg,0.0000
straight\20250621_112153_453759.jpg,0.0000
straight\20250621_112153_632263.jpg,0.0000
straight\20250621_112153_794628.jpg,0.0000
straight\20250621_112153_965674.jpg,-0.0160
turn_left\20250621_112154_150706.jpg,-0.0300
turn_left\20250621_112154_297052.jpg,-0.0300
turn_left\20250621_112154_471933.jpg,-0.0300
turn_left\20250621_112154_629292.jpg,-0.0300
turn_left\20250621_112154_810573.jpg,-0.0300
turn_left\20250621_112154_963771.jpg,-0.0300
turn_left\20250621_112155_134792.jpg,-0.0300
turn_left\20250621_112155_290623.jpg,-0.0300
turn_left\20250621_112155_461585.jpg,-0.0300
turn_left\20250621_112155_615572.jpg,-0.0300
turn_left\20250621_112155_787557.jpg,-0.0300
turn_left\20250621_112155_949022.jpg,-0.0300
turn_left\20250621_112156_112841.jpg,-0.0300
turn_left\20250621_112156_276869.jpg,-0.0300
turn_left\20250621_112156_447695.jpg,-0.0300
turn_left\20250621_112156_622598.jpg,-0.0300
turn_left\20250621_112156_777155.jpg,-0.0300
turn_left\20250621_112156_956425.jpg,-0.0300
turn_left\20250621_112157_106495.jpg,-0.0300
turn_left\20250621_112157_288553.jpg,-0.0300
turn_left\20250621_112157_443293.jpg,-0.0300
turn_left\20250621_112157_617952.jpg,-0.0300
turn_left\20250621_112157_777525.jpg,-0.0300
turn_left\20250621_112157_954184.jpg,-0.0300
turn_left\20250621_112158_109329.jpg,-0.0300
turn_left\20250621_112158_296873.jpg,-0.0300
turn_left\20250621_112158_470923.jpg,-0.0300
turn_left\20250621_112158_623274.jpg,-0.0300
straight\20250621_112158_809084.jpg,-0.0120
straight\20250621_112158_955461.jpg,-0.0100
straight\20250621_112159_126807.jpg,-0.0100
straight\20250621_112159_284103.jpg,-0.0000
straight\20250621_112159_465198.jpg,0.0200
straight\20250621_112159_617120.jpg,0.0260
straight\20250621_112159_796615.jpg,0.0260
straight\20250621_112159_955465.jpg,0.0260
straight\20250621_112200_126837.jpg,0.0260
straight\20250621_112200_290511.jpg,0.0260
straight\20250621_112200_460482.jpg,0.0260
straight\20250621_112200_639023.jpg,0.0260
straight\20250621_112200_783938.jpg,0.0260
straight\20250621_112200_963583.jpg,0.0260
straight\20250621_112201_111383.jpg,0.0260
straight\20250621_112201_289822.jpg,0.0260
straight\20250621_112201_438759.jpg,0.0260
straight\20250621_112201_617719.jpg,0.0260
straight\20250621_112201_775026.jpg,0.0260
straight\20250621_112201_948865.jpg,0.0260
straight\20250621_112202_109968.jpg,0.0180
straight\20250621_112202_284416.jpg,0.0140
straight\20250621_112202_456982.jpg,0.0140
straight\20250621_112202_612518.jpg,0.0140
straight\20250621_112202_792506.jpg,0.0140
straight\20250621_112202_941984.jpg,0.0140
straight\20250621_112203_116409.jpg,0.0120
straight\20250621_112203_272608.jpg,0.0020
straight\20250621_112203_452554.jpg,0.0020
straight\20250621_112203_609042.jpg,0.0020
straight\20250621_112203_784276.jpg,0.0020
straight\20250621_112203_942186.jpg,0.0020
straight\20250621_112204_115191.jpg,0.0020
straight\20250621_112204_273141.jpg,0.0020
straight\20250621_112204_444483.jpg,0.0020
straight\20250621_112204_616274.jpg,0.0020
straight\20250621_112204_772377.jpg,0.0020
straight\20250621_112204_950437.jpg,0.0020
straight\20250621_112205_101056.jpg,0.0020
straight\20250621_112205_278905.jpg,0.0020
straight\20250621_112205_434561.jpg,0.0020
straight\20250621_112205_616886.jpg,0.0020
straight\20250621_112205_772546.jpg,0.0200
straight\20250621_112205_949009.jpg,0.0200
straight\20250621_112206_106888.jpg,0.0200
straight\20250621_112206_275052.jpg,0.0200
straight\20250621_112206_439103.jpg,0.0200
straight\20250621_112206_605440.jpg,0.0200
straight\20250621_112206_772181.jpg,0.0200
straight\20250621_112206_935032.jpg,0.0200
straight\20250621_112207_109621.jpg,0.0200
straight\20250621_112207_267813.jpg,0.0200
straight\20250621_112207_447642.jpg,0.0160
straight\20250621_112207_603630.jpg,0.0120
straight\20250621_112207_778605.jpg,0.0120
straight\20250621_112207_929306.jpg,0.0120
straight\20250621_112208_112277.jpg,0.0120
straight\20250621_112217_376006.jpg,0.0000
straight\20250621_112217_529227.jpg,0.0000
straight\20250621_112217_711005.jpg,0.0000
straight\20250621_112217_860236.jpg,0.0000
straight\20250621_112218_040192.jpg,0.0000
