image_path,steering_angle
straight\20250618_195558_001024.jpg,0.0000
straight\20250618_195558_169069.jpg,0.0000
straight\20250618_195558_347921.jpg,0.0000
straight\20250618_195558_496071.jpg,0.0000
straight\20250618_195558_692770.jpg,0.0000
straight\20250618_195558_933754.jpg,0.0000
straight\20250618_195559_175784.jpg,0.0000
straight\20250618_195559_285515.jpg,0.0000
straight\20250618_195559_427756.jpg,0.0000
straight\20250618_195559_563245.jpg,0.0000
straight\20250618_195559_729636.jpg,0.0000
straight\20250618_195559_902264.jpg,0.0000
straight\20250618_195600_026977.jpg,0.0000
straight\20250618_195600_204238.jpg,0.0000
straight\20250618_195600_363583.jpg,0.0000
straight\20250618_195600_530987.jpg,0.0000
straight\20250618_195600_681916.jpg,0.0000
straight\20250618_195600_862724.jpg,0.0120
straight\20250618_195601_015174.jpg,0.0120
straight\20250618_195601_186275.jpg,0.0120
turn_right\20250618_195601_347313.jpg,0.0320
turn_right\20250618_195601_530869.jpg,0.0320
turn_right\20250618_195601_680649.jpg,0.0320
turn_right\20250618_195601_838330.jpg,0.0340
turn_right\20250618_195602_021104.jpg,0.0540
turn_right\20250618_195602_168804.jpg,0.0560
turn_right\20250618_195602_350285.jpg,0.0560
turn_right\20250618_195602_495298.jpg,0.0560
turn_right\20250618_195602_673990.jpg,0.0560
turn_right\20250618_195602_827898.jpg,0.0560
turn_right\20250618_195603_000835.jpg,0.0560
turn_right\20250618_195603_150364.jpg,0.0560
turn_right\20250618_195603_327732.jpg,0.0560
turn_right\20250618_195603_496933.jpg,0.0560
turn_right\20250618_195603_651506.jpg,0.0560
turn_right\20250618_195603_816161.jpg,0.0560
turn_right\20250618_195603_981051.jpg,0.0560
turn_right\20250618_195604_146334.jpg,0.0560
turn_right\20250618_195604_312788.jpg,0.0560
turn_right\20250618_195604_473215.jpg,0.0560
turn_right\20250618_195604_646149.jpg,0.0560
turn_right\20250618_195604_837034.jpg,0.0560
turn_right\20250618_195604_993258.jpg,0.0560
turn_right\20250618_195605_158245.jpg,0.0560
turn_right\20250618_195605_328060.jpg,0.0560
turn_right\20250618_195605_477889.jpg,0.0560
turn_right\20250618_195605_639657.jpg,0.0560
turn_right\20250618_195605_807579.jpg,0.0560
turn_right\20250618_195605_960523.jpg,0.0560
turn_right\20250618_195606_126513.jpg,0.0560
turn_right\20250618_195606_295641.jpg,0.0680
turn_right\20250618_195606_454138.jpg,0.0720
turn_right\20250618_195606_625049.jpg,0.0720
turn_right\20250618_195606_786318.jpg,0.0720
turn_right\20250618_195606_968108.jpg,0.0800
turn_right\20250618_195607_112400.jpg,0.0900
turn_right\20250618_195607_297571.jpg,0.0900
turn_right\20250618_195607_438453.jpg,0.0900
turn_right\20250618_195607_609318.jpg,0.0900
turn_right\20250618_195607_752932.jpg,0.0900
turn_right\20250618_195607_932403.jpg,0.0900
turn_right\20250618_195608_084845.jpg,0.0900
turn_right\20250618_195608_266860.jpg,0.0900
turn_right\20250618_195608_426456.jpg,0.0900
turn_right\20250618_195608_587214.jpg,0.0900
turn_right\20250618_195608_754207.jpg,0.0900
turn_right\20250618_195608_912913.jpg,0.0900
turn_right\20250618_195609_085647.jpg,0.0900
turn_right\20250618_195609_241466.jpg,0.0900
turn_right\20250618_195609_416525.jpg,0.0900
turn_right\20250618_195609_562523.jpg,0.0900
turn_right\20250618_195609_736280.jpg,0.0900
turn_right\20250618_195609_890544.jpg,0.0900
turn_right\20250618_195610_066304.jpg,0.0900
turn_right\20250618_195610_221848.jpg,0.0900
turn_right\20250618_195610_401306.jpg,0.0900
turn_right\20250618_195610_565471.jpg,0.0900
turn_right\20250618_195610_753479.jpg,0.0900
turn_right\20250618_195610_914318.jpg,0.0900
turn_right\20250618_195611_072447.jpg,0.0900
turn_right\20250618_195611_218624.jpg,0.0900
turn_right\20250618_195611_402001.jpg,0.0800
turn_right\20250618_195611_586247.jpg,0.0640
turn_right\20250618_195611_718154.jpg,0.0640
turn_right\20250618_195611_881486.jpg,0.0640
turn_right\20250618_195612_035172.jpg,0.0540
turn_right\20250618_195612_210969.jpg,0.0500
turn_right\20250618_195612_380729.jpg,0.0500
turn_right\20250618_195612_540471.jpg,0.0500
turn_right\20250618_195612_702281.jpg,0.0500
turn_right\20250618_195612_865195.jpg,0.0480
straight\20250618_195613_036083.jpg,0.0280
straight\20250618_195613_221522.jpg,0.0080
straight\20250618_195613_389301.jpg,-0.0120
straight\20250618_195613_534335.jpg,-0.0160
straight\20250618_195613_679795.jpg,-0.0160
