image_path,steering_angle
straight\20250616_210941_942089.jpg,0.0000
straight\20250616_210942_026621.jpg,0.0000
straight\20250616_210942_152806.jpg,0.0000
straight\20250616_210942_327925.jpg,0.0000
straight\20250616_210942_474861.jpg,0.0000
straight\20250616_210942_639580.jpg,0.0000
straight\20250616_210942_801717.jpg,0.0000
straight\20250616_210942_967036.jpg,0.0000
straight\20250616_210943_139540.jpg,0.0000
straight\20250616_210943_292448.jpg,0.0000
straight\20250616_210943_466869.jpg,0.0000
straight\20250616_210943_621443.jpg,0.0000
straight\20250616_210943_807872.jpg,0.0000
straight\20250616_210943_958441.jpg,0.0000
straight\20250616_210944_135606.jpg,0.0000
straight\20250616_210944_290061.jpg,0.0000
straight\20250616_210944_464355.jpg,0.0000
straight\20250616_210944_617821.jpg,0.0000
straight\20250616_210944_790539.jpg,0.0000
straight\20250616_210944_950247.jpg,0.0000
straight\20250616_210945_114031.jpg,0.0000
straight\20250616_210945_296483.jpg,0.0000
straight\20250616_210945_445670.jpg,0.0000
straight\20250616_210945_595779.jpg,0.0000
straight\20250616_210945_759692.jpg,0.0000
straight\20250616_210945_937967.jpg,0.0000
straight\20250616_210946_085313.jpg,0.0000
straight\20250616_210946_264767.jpg,-0.0120
straight\20250616_210946_420247.jpg,-0.0260
straight\20250616_210946_594488.jpg,-0.0260
straight\20250616_210946_749845.jpg,-0.0260
turn_left\20250616_210946_928025.jpg,-0.0300
turn_left\20250616_210947_082812.jpg,-0.0500
turn_left\20250616_210947_256368.jpg,-0.0600
turn_left\20250616_210947_416693.jpg,-0.0600
turn_left\20250616_210947_585645.jpg,-0.0600
turn_left\20250616_210947_761215.jpg,-0.0760
turn_left\20250616_210947_918569.jpg,-0.0820
turn_left\20250616_210948_081263.jpg,-0.0820
turn_left\20250616_210948_246411.jpg,-0.0860
turn_left\20250616_210948_418260.jpg,-0.1060
turn_left\20250616_210948_575249.jpg,-0.1120
turn_left\20250616_210948_747736.jpg,-0.1120
turn_left\20250616_210948_901831.jpg,-0.1120
turn_left\20250616_210949_079011.jpg,-0.1120
turn_left\20250616_210949_227613.jpg,-0.1080
turn_left\20250616_210949_403134.jpg,-0.0940
turn_left\20250616_210949_559628.jpg,-0.0940
turn_left\20250616_210949_735456.jpg,-0.0940
turn_left\20250616_210949_891178.jpg,-0.0940
turn_left\20250616_210950_067337.jpg,-0.0840
turn_left\20250616_210950_220442.jpg,-0.0740
turn_left\20250616_210950_394340.jpg,-0.0740
turn_left\20250616_210950_553334.jpg,-0.0640
turn_left\20250616_210950_720854.jpg,-0.0560
turn_left\20250616_210950_885160.jpg,-0.0560
turn_left\20250616_210951_050710.jpg,-0.0560
turn_left\20250616_210951_217056.jpg,-0.0560
turn_left\20250616_210951_378310.jpg,-0.0560
