image_path,steering_angle
straight\20250616_203843_502322.jpg,0.0000
straight\20250616_203843_660611.jpg,0.0000
straight\20250616_203843_808617.jpg,0.0000
straight\20250616_203843_981962.jpg,0.0000
straight\20250616_203844_172502.jpg,0.0000
straight\20250616_203844_293041.jpg,0.0000
straight\20250616_203844_462515.jpg,0.0060
straight\20250616_203844_640317.jpg,0.0200
straight\20250616_203844_782383.jpg,0.0200
straight\20250616_203844_961370.jpg,0.0200
straight\20250616_203845_116193.jpg,0.0200
straight\20250616_203845_292807.jpg,0.0200
straight\20250616_203845_448523.jpg,0.0200
straight\20250616_203845_623239.jpg,0.0200
straight\20250616_203845_778219.jpg,0.0200
straight\20250616_203845_954670.jpg,0.0200
straight\20250616_203846_105233.jpg,0.0200
straight\20250616_203846_278817.jpg,0.0200
straight\20250616_203846_435568.jpg,0.0200
straight\20250616_203846_608593.jpg,0.0200
straight\20250616_203846_765881.jpg,0.0060
straight\20250616_203846_939180.jpg,-0.0140
straight\20250616_203847_100368.jpg,-0.0260
straight\20250616_203847_266925.jpg,-0.0260
turn_left\20250616_203847_444673.jpg,-0.0340
turn_left\20250616_203847_600908.jpg,-0.0540
turn_left\20250616_203847_785806.jpg,-0.0740
turn_left\20250616_203847_942840.jpg,-0.0800
turn_left\20250616_203848_113160.jpg,-0.0800
turn_left\20250616_203848_262998.jpg,-0.0800
turn_left\20250616_203848_442234.jpg,-0.0800
turn_left\20250616_203848_597770.jpg,-0.0800
turn_left\20250616_203848_770362.jpg,-0.0860
turn_left\20250616_203848_931934.jpg,-0.1060
turn_left\20250616_203849_094989.jpg,-0.1120
turn_left\20250616_203849_256680.jpg,-0.1120
turn_left\20250616_203849_425540.jpg,-0.1120
turn_left\20250616_203849_591356.jpg,-0.1120
turn_left\20250616_203849_758137.jpg,-0.1120
turn_left\20250616_203849_934110.jpg,-0.1000
turn_left\20250616_203850_090294.jpg,-0.1000
turn_left\20250616_203850_267697.jpg,-0.1000
turn_left\20250616_203850_419195.jpg,-0.0880
turn_left\20250616_203850_597245.jpg,-0.0780
turn_left\20250616_203850_750528.jpg,-0.0780
turn_left\20250616_203850_918548.jpg,-0.0640
turn_left\20250616_203851_069967.jpg,-0.0520
turn_left\20250616_203851_245801.jpg,-0.0520
turn_left\20250616_203851_403496.jpg,-0.0520
turn_left\20250616_203851_575273.jpg,-0.0560
turn_left\20250616_203851_731260.jpg,-0.0760
turn_left\20250616_203851_897518.jpg,-0.0780
turn_left\20250616_203852_065978.jpg,-0.0780
turn_left\20250616_203852_232802.jpg,-0.0780
turn_left\20250616_203852_407161.jpg,-0.0580
turn_left\20250616_203852_561525.jpg,-0.0580
turn_left\20250616_203852_737995.jpg,-0.0580
turn_left\20250616_203852_888686.jpg,-0.0580
turn_left\20250616_203853_060512.jpg,-0.0580
turn_left\20250616_203853_216604.jpg,-0.0580
turn_left\20250616_203853_388743.jpg,-0.0580
turn_left\20250616_203853_547780.jpg,-0.0580
turn_left\20250616_203853_723224.jpg,-0.0580
turn_left\20250616_203853_873145.jpg,-0.0580
turn_left\20250616_203854_085802.jpg,-0.0580
turn_left\20250616_203854_251829.jpg,-0.0580
turn_left\20250616_203854_417968.jpg,-0.0580
turn_left\20250616_203854_586114.jpg,-0.0580
turn_left\20250616_203854_747978.jpg,-0.0580
turn_left\20250616_203854_919158.jpg,-0.0580
turn_left\20250616_203855_095830.jpg,-0.0720
turn_left\20250616_203855_246154.jpg,-0.0720
turn_left\20250616_203855_403864.jpg,-0.0720
turn_left\20250616_203855_580941.jpg,-0.0720
turn_left\20250616_203855_734626.jpg,-0.0720
turn_left\20250616_203855_910762.jpg,-0.0720
turn_left\20250616_203856_071759.jpg,-0.0720
turn_left\20250616_203856_238609.jpg,-0.0720
turn_left\20250616_203856_399032.jpg,-0.0720
turn_left\20250616_203856_572350.jpg,-0.0720
turn_left\20250616_203856_746057.jpg,-0.0720
turn_left\20250616_203856_901844.jpg,-0.0720
turn_left\20250616_203857_077419.jpg,-0.0720
turn_left\20250616_203857_231221.jpg,-0.0720
turn_left\20250616_203857_409178.jpg,-0.0720
turn_left\20250616_203857_558739.jpg,-0.0720
turn_left\20250616_203857_736910.jpg,-0.0720
turn_left\20250616_203857_890781.jpg,-0.0720
turn_left\20250616_203858_067697.jpg,-0.0720
turn_left\20250616_203858_218869.jpg,-0.0720
turn_left\20250616_203858_392437.jpg,-0.0720
turn_left\20250616_203858_552021.jpg,-0.0720
turn_left\20250616_203858_714114.jpg,-0.0720
turn_left\20250616_203858_868128.jpg,-0.0720
turn_left\20250616_203859_040181.jpg,-0.0720
turn_left\20250616_203859_207788.jpg,-0.0540
turn_left\20250616_203859_375032.jpg,-0.0480
turn_left\20250616_203859_550400.jpg,-0.0480
turn_left\20250616_203859_702416.jpg,-0.0480
turn_left\20250616_203859_876436.jpg,-0.0440
straight\20250616_203900_031185.jpg,-0.0240
straight\20250616_203900_207129.jpg,-0.0220
straight\20250616_203900_358676.jpg,-0.0220
straight\20250616_203900_536383.jpg,-0.0220
straight\20250616_203900_691562.jpg,-0.0220
straight\20250616_203900_865925.jpg,-0.0200
straight\20250616_203901_026494.jpg,-0.0040
straight\20250616_203901_191855.jpg,-0.0040
straight\20250616_203901_345865.jpg,-0.0040
straight\20250616_203901_521475.jpg,0.0080
straight\20250616_203901_672783.jpg,0.0140
straight\20250616_203901_842574.jpg,0.0140
straight\20250616_203902_005659.jpg,0.0020
