image_path,steering_angle,label
Maniobras/turn_left/20250621_112637_859202.jpg,-0.036,turn_left
Circuito Normal/straight/20250614_094841_452987.jpg,0.01,straight
Circuito Normal/straight/20250614_095402_699669.jpg,-0.025,straight
Maniobras/turn_right/20250621_112547_657428.jpg,0.056,turn_right
Circuito Medio Invertido/turn_right/20250614_102227_373186.jpg,0.048,turn_right
Middle Section Normal Extra/turn_left/20250618_195931_781392.jpg,-0.068,turn_left
Circuito Invertido/straight/20250614_100803_946610.jpg,-0.0,straight
Circuito Normal/turn_left/20250614_094138_002308.jpg,-0.08,turn_left
Circuito Medio Invertido/turn_right/20250614_102005_416769.jpg,0.072,turn_right
Circuito Medio Normal/turn_left/20250614_101631_824975.jpg,-0.032,turn_left
Middle Section Normal Extra/turn_left/20250618_200006_806436.jpg,-0.04,turn_left
Circuito Medio Invertido/straight/20250614_102133_127751.jpg,0.008,straight
Circuito Medio Invertido/turn_right/20250614_102303_552858.jpg,0.08,turn_right
Middle Section Normal Extra/turn_right/20250618_195953_376612.jpg,0.036,turn_right
Circuito Invertido/turn_right/20250614_100304_562210.jpg,0.06,turn_right
Circuito Medio Invertido/turn_right/20250614_101935_024446.jpg,0.092,turn_right
Circuito Normal/turn_left/20250614_095702_950130.jpg,-0.085,turn_left
Middle Section Normal Extra/turn_left/20250618_195813_662153.jpg,-0.072,turn_left
Circuito Normal/straight/20250614_094749_901845.jpg,0.0,straight
Circuito Normal/turn_right/20250614_093958_899388.jpg,0.055,turn_right
Circuito Invertido/turn_right/20250614_101253_372219.jpg,0.032,turn_right
Middle Section Normal/turn_left/20250616_210948_246411.jpg,-0.086,turn_left
Circuito Medio Invertido/turn_right/20250614_102109_003423.jpg,0.064,turn_right
Dark Section/turn_left/20250618_201922_419725.jpg,-0.1,turn_left
Circuito Invertido/turn_left/20250614_100312_579067.jpg,-0.064,turn_left
Circuito Medio Normal/turn_left/20250614_101505_427841.jpg,-0.076,turn_left
Circuito Medio Normal/turn_left/20250614_101516_403123.jpg,-0.052,turn_left
Circuito Medio Invertido/turn_right/20250614_102243_973065.jpg,0.104,turn_right
Circuito Invertido/turn_right/20250614_100214_228004.jpg,0.084,turn_right
Circuito Invertido/turn_right/20250614_101213_321043.jpg,0.056,turn_right
Middle Section Normal/turn_left/20250616_211344_406252.jpg,-0.082,turn_left
Middle Section Normal/turn_left/20250616_211114_526791.jpg,-0.064,turn_left
Middle Section Normal/turn_left/20250616_211025_866834.jpg,-0.092,turn_left
Circuito Invertido/turn_right/20250614_100355_722316.jpg,0.032,turn_right
Circuito Normal/straight/20250614_094434_930754.jpg,-0.005,straight
Dark Section Extra/straight/20250618_204909_730831.jpg,0.002,straight
Circuito Normal/straight/20250614_095600_002519.jpg,0.0,straight
Middle Section Normal/turn_left/20250616_211019_908504.jpg,-0.038,turn_left
Circuito Invertido/straight/20250614_100507_384316.jpg,0.0,straight
Circuito Medio Invertido/turn_right/20250614_102124_434376.jpg,0.072,turn_right
Circuito Medio Invertido/turn_right/20250614_102244_922748.jpg,0.072,turn_right
Circuito Normal/straight/20250614_095747_669098.jpg,-0.015,straight
Middle Section Normal Extra/turn_right/20250618_195655_013318.jpg,0.046,turn_right
Circuito Normal/turn_left/20250614_095632_566136.jpg,-0.04,turn_left
Middle Section Normal/turn_left/20250616_211025_710825.jpg,-0.092,turn_left
Circuito Invertido/turn_right/20250614_100653_127081.jpg,0.108,turn_right
Circuito Medio Invertido/turn_right/20250614_101922_892130.jpg,0.068,turn_right
Circuito Normal/straight/20250614_095604_485274.jpg,0.0,straight
Circuito Normal/turn_left/20250614_094726_402468.jpg,-0.06,turn_left
Circuito Invertido/straight/20250614_100427_295335.jpg,-0.004,straight
Circuito Normal/straight/20250614_094350_026608.jpg,0.0,straight
Circuito Normal/straight/20250614_094304_732993.jpg,0.01,straight
Circuito Normal/turn_left/20250614_094724_748191.jpg,-0.085,turn_left
Middle Section Normal Extra/turn_left/20250618_195632_044994.jpg,-0.08,turn_left
Middle Section Normal Extra/turn_left/20250618_200014_554849.jpg,-0.076,turn_left
Circuito Invertido/turn_right/20250614_100229_745004.jpg,0.076,turn_right
Circuito Invertido/turn_right/20250614_100955_678393.jpg,0.1,turn_right
Circuito Normal/turn_left/20250614_095357_940349.jpg,-0.05,turn_left
